smiles_1,smiles_2,transformation,constant_part
COc1cc(Br)ccc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,COc1ncc(Br)cc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,[*:1]c1ccc([*:2])c([*:3])c1>>[*:1]c1cnc([*:3])c([*:2])c1,[*:1]Br.[*:2]Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1.[*:3]OC
O=C(Cc1cc(Cl)cc(NCc2ccc(Br)cc2)c1)Nc1cncc2ccccc12,COc1cc(Br)ccc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,[*:1]NCc1ccc([*:2])cc1>>[*:1]Nc1ccc([*:2])cc1OC,[*:2]Br.[*:1]c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1
O=C(Cc1cc(Cl)cc(NCc2ccc(Br)cc2)c1)Nc1cncc2ccccc12,COc1ncc(Br)cc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,[*:1]NCc1ccc([*:2])cc1>>[*:1]Nc1cc([*:2])cnc1OC,[*:2]Br.[*:1]c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1
N#Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,N#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,[*:1]c1ccc([*:2])cc1>>[*:1]c1cccc([*:2])c1,[*:1]C#N.[*:2]CC(=O)Nc1cncc2ccccc12
N#Cc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,N#Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,[*:1]c1cc([*:2])cc(Cl)c1>>[*:1]c1ccc([*:2])cc1,[*:1]C#N.[*:2]CC(=O)Nc1cncc2ccccc12
N#Cc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,N#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,[*:1]Cl>>[*:1][H],[*:1]c1cc(C#N)cc(CC(=O)Nc2cncc3ccccc23)c1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,[*:1]C1([*:2])CCCC1>>[*:1]C1([*:2])CN(C)C1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,[*:1]C1([*:2])CCOCC1>>[*:1]C1([*:2])CN(C)C1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,[*:1]C1([*:2])CCS(=O)(=O)CC1>>[*:1]C1([*:2])CN(C)C1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,[*:1]C1([*:2])CC1>>[*:1]C1([*:2])CN(C)C1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CNC1,[*:1]C>>[*:1][H],[*:1]N1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,[*:1]C1([*:2])CCC1>>[*:1]C1([*:2])CN(C)C1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,[*:1]C1([*:2])CCCC1>>[*:1]C1([*:2])CCOCC1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,[*:1]C1([*:2])CCCC1>>[*:1]C1([*:2])CCS(=O)(=O)CC1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,[*:1]C1([*:2])CC1>>[*:1]C1([*:2])CCCC1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CNC1,[*:1]C1([*:2])CCCC1>>[*:1]C1([*:2])CNC1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,[*:1]C1([*:2])CCC1>>[*:1]C1([*:2])CCCC1,[*:1]C#N.[*:2]CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1
