SMILES,f_avg_IC50 [uM]
CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,0.275118241099123
O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,0.202766791018038
CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,55.4539472183434
CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,0.0500000007450581
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,0.0527566448489595
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,0.153279934357818
COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,0.214885085602627
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,0.15535120394062
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,0.15665931676081
CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,0.106542506041203
CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,0.0744085085108016
CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,0.297012069374338
CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,0.267639768802499
O=C(c1ccnn1C1CC1)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,0.162875697461307
Cc1c(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)nc1,0.682987814617111
Cc1nn(C)c(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)c1,0.463982011635883
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1,55.3431987015271
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)C1,0.20958075735735
O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21,0.723364706056088
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,99.5
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,0.235440420166198
O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21,0.205138508118445
CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,99.5
COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,99.5
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,99.5
CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,99.5
CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,99.5
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,99.5
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,99.5
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,99.5
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,99.5
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,99.5
C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,99.5
O=C1N(c2cncc3ccccc23)CCC[C@]12CCOc1ccc(Cl)cc12,99.5
O=C1N(c2cncc3ccccc23)CCC[C@@]12CCOc1ccc(Cl)cc12,0.364616345287509
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,82.156420927535
CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,0.0903638543493449
CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,0.264725262374338
CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.270577633742706
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(-n2ccnc2)cc1,99.5
N#Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99.5
CCNC(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99.5
CC1(c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)OCCO1,83.0984495713822
CNC(=O)Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99.5
O=C(Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1)NC1CC1,99.5
O=C(NCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99.5
CC(C)(O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,26.5333068459492
O=C(NCCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,99.5
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C2(O)COC2)cc1,99.5
COCOc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,13.2468260025678
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.0500000007450581
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,13.4604003483117
CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,14.5685572741904
CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,0.0963831103296584
C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,0.213912997054492
C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,3.72315569375659
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4c3CCCC4)C2=O)C1,0.258254886981143
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5c4CCCC5)C3=O)C2)CC1,0.514550866659664
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CS(=O)(=O)C1,0.143631362485729
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCS(=O)(=O)CC1,0.210882671886221
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.265301853353024
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12,0.352547783003054
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.356360969805611
CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.0732194580968388
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1,0.262697733725167
N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,0.180909047582176
COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,0.223774225934084
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCOCC1,0.338333523118342
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1,0.0823742388247868
CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,0.4479522665284
N#CCNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,0.263078440666984
